date,cityid,emp_combined,emp_combined_inclow,emp_combined_incmiddle,emp_combined_inchigh
2020-1-14,Miami,-0.00774,0.000102,-0.0121,-0.00765
2020-1-14,Raleigh,-0.0067,.,-0.0125,-0.0119
2020-1-14,Omaha,0.011,-0.00138,.,0.0155
2020-1-14,Oakland,-0.00344,-0.00254,-0.0035,-0.00348
2020-1-14,Minneapolis,-0.00157,-0.0109,-0.00133,0.00275
2020-1-14,Tampa,-0.00477,-0.00659,-0.0039,-0.00492
2020-1-14,New Orleans,-0.00117,-0.00178,-0.00324,0.00419
2020-1-14,Wichita,0.00342,.,.,.
2020-1-14,Cleveland,0.0044,.,-0.00346,-0.0000732
2020-1-14,Bakersfield,-0.0169,0.00262,-0.0272,-0.00614
2020-1-14,Honolulu,-0.00687,.,.,.
2020-1-14,Boise,-0.0143,-0.00348,.,.
2020-1-14,Salt Lake City,-0.00921,-0.0214,-0.00948,0.00608
2020-1-14,Virginia Beach,.,.,.,.
2020-1-14,Colorado Springs,0.000841,.,0.0000724,0.00491
2020-1-14,Tulsa,0.00172,0.00517,0.000428,0.000841
2020-1-15,Los Angeles,-0.00433,0.0000268,-0.00566,-0.0029
2020-1-15,New York City,-0.00395,-0.00696,-0.00362,-0.00391
2020-1-15,Chicago,-0.00427,-0.0079,-0.0038,-0.00274
2020-1-15,Houston,-0.00794,.,-0.0114,-0.00382
2020-1-15,Phoenix,-0.00396,-0.00348,-0.005,-0.00203
2020-1-15,San Diego,-0.00584,0.00284,-0.00888,-0.00453
2020-1-15,Dallas,-0.0039,-0.00794,-0.00456,0.000773
2020-1-15,Las Vegas,-0.00251,.,-0.00418,-0.000197
2020-1-15,Seattle,-0.00513,-0.0207,-0.00756,-0.000206
2020-1-15,Fort Worth,-0.00476,0.00424,-0.00959,-0.00421
2020-1-15,San Antonio,-0.00112,-0.00151,-0.00656,0.0129
2020-1-15,San Jose,-0.0045,-0.00527,-0.0054,-0.00343
2020-1-15,Detroit,-0.00499,.,.,-0.00339
2020-1-15,Philadelphia,-0.00328,-0.0152,.,-0.00369
2020-1-15,Columbus,-0.00422,-0.000234,.,-0.00389
2020-1-15,Austin,-0.0153,-0.00514,.,-0.0057
2020-1-15,Charlotte,-0.00331,-0.00257,-0.00527,-0.000259
2020-1-15,Indianapolis,-0.00305,0.00306,-0.00678,-0.00102
2020-1-15,Jacksonville,0.00682,0.0248,-0.00263,.
2020-1-15,Memphis,-0.0058,-0.00813,-0.00636,.
2020-1-15,San Francisco,-0.00719,-0.00347,-0.00331,-0.0111
2020-1-15,El Paso,-0.0107,-0.00537,.,.
2020-1-15,Baltimore,.,.,.,.
2020-1-15,Portland,-0.00376,.,-0.00449,-0.000057
2020-1-15,Boston,-0.00424,-0.0118,-0.00246,-0.00401
2020-1-15,Oklahoma City,-0.00349,-0.00594,-0.00189,.
2020-1-15,Louisville,-0.00332,.,-0.00227,-0.00314
2020-1-15,Denver,-0.00547,.,.,-0.00618
2020-1-15,Washington,-0.00373,0.00222,-0.0058,-0.0026
2020-1-15,Nashville,-0.00401,-0.00376,-0.0038,-0.00464
2020-1-15,Milwaukee,-0.00316,-0.00507,-0.00242,-0.00169
2020-1-15,Albuquerque,-0.0074,.,-0.00845,-0.00259
2020-1-15,Tucson,-0.00355,0.0048,-0.00805,-0.00228
2020-1-15,Fresno,-0.00241,0.0134,.,-0.00548
2020-1-15,Sacramento,0.00386,0.00418,0.00675,-0.00138
2020-1-15,Atlanta,-0.00392,-0.00412,-0.00638,-0.000413
2020-1-15,Kansas City,0.000444,.,-0.000345,0.00321
2020-1-15,Miami,-0.00586,0.000173,-0.00853,-0.00692
2020-1-15,Raleigh,-0.00451,.,-0.00928,-0.0112
2020-1-15,Omaha,0.00962,-0.00248,.,0.0147
2020-1-15,Oakland,-0.00179,-0.00135,-0.00184,-0.00177
2020-1-15,Minneapolis,-0.000751,-0.00857,-0.0000216,0.00211
2020-1-15,Tampa,-0.00357,-0.00624,-0.00307,-0.00225
2020-1-15,New Orleans,-0.00106,-0.00102,-0.00221,0.00124
2020-1-15,Wichita,0.00319,.,.,.
2020-1-15,Cleveland,0.00391,.,-0.00259,-0.00129
2020-1-15,Bakersfield,-0.0138,0.000694,-0.0219,-0.0048
2020-1-15,Honolulu,-0.00328,.,.,.
2020-1-15,Boise,-0.0119,-0.000437,.,.
2020-1-15,Salt Lake City,-0.00744,-0.0184,-0.0081,0.00724
2020-1-15,Virginia Beach,.,.,.,.
2020-1-15,Colorado Springs,0.00169,.,0.00267,0.00467
2020-1-15,Tulsa,0.00183,0.00606,0.000544,0.000167
2020-1-16,Los Angeles,-0.00264,-0.00162,-0.00329,-0.00157
2020-1-16,New York City,-0.00249,-0.00474,-0.00242,-0.00223
2020-1-16,Chicago,-0.00309,-0.00547,-0.00263,-0.00233
2020-1-16,Houston,-0.00601,.,-0.00826,-0.00304
2020-1-16,Phoenix,-0.00357,-0.00461,-0.00392,-0.0017
2020-1-16,San Diego,-0.00413,-0.00134,-0.00529,-0.00333
2020-1-16,Dallas,-0.00302,-0.00633,-0.00275,-0.000492
2020-1-16,Las Vegas,-0.00146,.,-0.00284,0.000408
2020-1-16,Seattle,-0.00281,-0.0275,-0.004,0.000964
2020-1-16,Fort Worth,-0.00293,0.0063,-0.00726,-0.00365
2020-1-16,San Antonio,-0.000444,-0.00103,-0.00518,0.0122
2020-1-16,San Jose,-0.00256,-0.00275,-0.00291,-0.00216
2020-1-16,Detroit,-0.00313,.,.,-0.00216
2020-1-16,Philadelphia,-0.00243,-0.011,.,-0.00391
2020-1-16,Columbus,-0.00319,0.000911,.,-0.00367
2020-1-16,Austin,-0.0127,-0.00296,.,-0.00648
2020-1-16,Charlotte,-0.00301,-0.00208,-0.00404,-0.00196
2020-1-16,Indianapolis,-0.000939,0.00262,-0.00339,0.000864
2020-1-16,Jacksonville,0.00679,0.0261,-0.00142,.
2020-1-16,Memphis,-0.00402,-0.00642,-0.00367,.
2020-1-16,San Francisco,-0.00522,-0.00546,-0.00162,-0.00873
2020-1-16,El Paso,-0.00844,-0.00526,.,.
2020-1-16,Baltimore,.,.,.,.
2020-1-16,Portland,-0.00275,.,-0.00269,-0.000388
2020-1-16,Boston,-0.00324,-0.00993,-0.00151,-0.00322
2020-1-16,Oklahoma City,-0.00223,-0.00287,-0.00135,.
2020-1-16,Louisville,-0.00216,.,-0.00157,-0.000473
2020-1-16,Denver,-0.00459,.,.,-0.00608
2020-1-16,Washington,-0.00245,0.00269,-0.00377,-0.00194
2020-1-16,Nashville,-0.00306,-0.00237,-0.0026,-0.00454
2020-1-16,Milwaukee,-0.00204,-0.00409,-0.00103,-0.000968
2020-1-16,Albuquerque,-0.00443,.,-0.00581,-0.00249
2020-1-16,Tucson,-0.00205,0.00475,-0.00475,-0.00395
2020-1-16,Fresno,-0.000675,0.00955,.,-0.00502
2020-1-16,Sacramento,0.00484,-0.000903,0.00886,-0.0000864
2020-1-16,Atlanta,-0.00313,-0.00198,-0.00546,-0.000646
2020-1-16,Kansas City,0.000502,.,0.0000178,0.00158
2020-1-16,Miami,-0.00408,0.000109,-0.00518,-0.00609
2020-1-16,Raleigh,-0.00237,.,-0.00598,-0.0102
2020-1-16,Omaha,0.00821,-0.00325,.,0.0136
2020-1-16,Oakland,-0.000384,-0.0000249,-0.000414,-0.00039
2020-1-16,Minneapolis,-0.000058,-0.00642,0.00112,0.0014
2020-1-16,Tampa,-0.00244,-0.00574,-0.00236,0.000227
2020-1-16,New Orleans,-0.000977,-0.000314,-0.00142,-0.00126
2020-1-16,Wichita,0.00288,.,.,.
2020-1-16,Cleveland,0.00333,.,-0.00171,-0.00234
2020-1-16,Bakersfield,-0.0108,-0.000696,-0.0166,-0.00343
2020-1-16,Honolulu,0.000311,.,.,.
2020-1-16,Boise,-0.00939,0.00239,.,.
2020-1-16,Salt Lake City,-0.00562,-0.015,-0.00665,0.00805
2020-1-16,Virginia Beach,.,.,.,.
2020-1-16,Colorado Springs,0.00241,.,0.00465,0.00432
2020-1-16,Tulsa,0.00182,0.00665,0.00053,-0.00044
2020-1-17,Los Angeles,-0.00108,-0.00275,-0.00117,-0.000401
2020-1-17,New York City,-0.00109,-0.00259,-0.0013,-0.000589
2020-1-17,Chicago,-0.00195,-0.00305,-0.00156,-0.00189
2020-1-17,Houston,-0.0041,.,-0.0052,-0.00225
2020-1-17,Phoenix,-0.0032,-0.00551,-0.00292,-0.00152
2020-1-17,San Diego,-0.0025,-0.00466,-0.00206,-0.00217
2020-1-17,Dallas,-0.00217,-0.00475,-0.00106,-0.00157
2020-1-17,Las Vegas,-0.00056,.,-0.00157,0.000853
2020-1-17,Seattle,-0.000747,-0.0315,-0.000899,0.00193
2020-1-17,Fort Worth,-0.0012,0.00801,-0.00497,-0.00305
2020-1-17,San Antonio,0.0000326,-0.000782,-0.00379,0.011
2020-1-17,San Jose,-0.000785,-0.000301,-0.000637,-0.001
2020-1-17,Detroit,-0.00136,.,.,-0.00097
2020-1-17,Philadelphia,-0.00174,-0.00701,.,-0.00404
2020-1-17,Columbus,-0.00216,0.0019,.,-0.00329
2020-1-17,Austin,-0.00987,-0.000845,.,-0.00689
2020-1-17,Charlotte,-0.00264,-0.00166,-0.00276,-0.00342
2020-1-17,Indianapolis,0.000957,0.00206,-0.000269,0.00256
2020-1-17,Jacksonville,0.00634,0.0261,-0.000422,.
2020-1-17,Memphis,-0.00226,-0.00464,-0.00116,.
2020-1-17,San Francisco,-0.00339,-0.00692,-0.000221,-0.00633
2020-1-17,El Paso,-0.00602,-0.00504,.,.
2020-1-17,Baltimore,.,.,.,.
2020-1-17,Portland,-0.00177,.,-0.00103,-0.000663
2020-1-17,Boston,-0.00222,-0.00775,-0.000661,-0.00234
2020-1-17,Oklahoma City,-0.00104,-0.000159,-0.00079,.
2020-1-17,Louisville,-0.00115,.,-0.000971,0.00177
2020-1-17,Denver,-0.00368,.,.,-0.00581
2020-1-17,Washington,-0.00126,0.00277,-0.00183,-0.0013
2020-1-17,Nashville,-0.00217,-0.00132,-0.00144,-0.00434
2020-1-17,Milwaukee,-0.000951,-0.00299,0.000242,-0.000284
2020-1-17,Albuquerque,-0.00167,.,-0.00338,-0.00232
2020-1-17,Tucson,-0.000658,0.00458,-0.00164,-0.00538
2020-1-17,Fresno,0.000949,0.00633,.,-0.00441
2020-1-17,Sacramento,0.00547,-0.00448,0.0102,0.000922
2020-1-17,Atlanta,-0.00237,-0.000151,-0.00445,-0.00089
2020-1-17,Kansas City,0.000533,.,0.000335,0.0000445
2020-1-17,Miami,-0.00238,-0.0000473,-0.00205,-0.00511
2020-1-17,Raleigh,-0.000373,.,-0.00274,-0.00892
2020-1-17,Omaha,0.00668,-0.00362,.,0.0121
2020-1-17,Oakland,0.0008,0.00132,0.00082,0.000693
2020-1-17,Minneapolis,0.000509,-0.00437,0.00209,0.000638
2020-1-17,Tampa,-0.00142,-0.00514,-0.00174,0.00242
2020-1-17,New Orleans,-0.000895,0.000288,-0.000808,-0.00321
2020-1-17,Wichita,0.00244,.,.,.
2020-1-17,Cleveland,0.00266,.,-0.000878,-0.00316
2020-1-17,Bakersfield,-0.00762,-0.00166,-0.0115,-0.00203
2020-1-17,Honolulu,0.00399,.,.,.
2020-1-17,Boise,-0.00673,0.00471,.,.
2020-1-17,Salt Lake City,-0.00375,-0.0113,-0.0051,0.0084
2020-1-17,Virginia Beach,.,.,.,.
2020-1-17,Colorado Springs,0.00305,.,0.00616,0.0039
2020-1-17,Tulsa,0.00168,0.0069,0.000414,-0.00101
2020-1-18,Los Angeles,0.00032,-0.00352,0.000727,0.000634
2020-1-18,New York City,0.000199,-0.000471,-0.000279,0.000939
2020-1-18,Chicago,-0.000887,-0.000819,-0.000569,-0.00143
2020-1-18,Houston,-0.0022,.,-0.00228,-0.00145
2020-1-18,Phoenix,-0.00279,-0.00593,-0.00197,-0.0015
2020-1-18,San Diego,-0.000953,-0.00719,0.000811,-0.00105
2020-1-18,Dallas,-0.00125,-0.00291,0.000455,-0.00243
2020-1-18,Las Vegas,0.000234,.,-0.000392,0.00118
2020-1-18,Seattle,0.00105,-0.0325,0.00174,0.00266
2020-1-18,Fort Worth,0.000403,0.00932,-0.00274,-0.00247
2020-1-18,San Antonio,0.000463,-0.00035,-0.00243,0.00919
2020-1-18,San Jose,0.000842,0.00198,0.00143,0.0000648
2020-1-18,Detroit,0.000313,.,.,0.000162
2020-1-18,Philadelphia,-0.00113,-0.00329,.,-0.00406
2020-1-18,Columbus,-0.00117,0.00273,.,-0.00276
2020-1-18,Austin,-0.00666,0.00143,.,-0.00684
2020-1-18,Charlotte,-0.00215,-0.00112,-0.00148,-0.00455
2020-1-18,Indianapolis,0.0026,0.00156,0.00246,0.00399
2020-1-18,Jacksonville,0.00553,0.0246,0.000465,.
2020-1-18,Memphis,-0.00054,-0.00272,0.00113,.
2020-1-18,San Francisco,-0.00169,-0.00735,0.00089,-0.00396
2020-1-18,El Paso,-0.00314,-0.00405,.,.
2020-1-18,Baltimore,.,.,.,.
2020-1-18,Portland,-0.00075,.,0.000523,-0.000881
2020-1-18,Boston,-0.00118,-0.00561,0.000161,-0.00138
2020-1-18,Oklahoma City,0.000063,0.00211,-0.000227,.
2020-1-18,Louisville,-0.000378,.,-0.000504,0.00354
2020-1-18,Denver,-0.0027,.,.,-0.00533
2020-1-18,Washington,-0.000147,0.00273,-0.0000363,-0.000688
2020-1-18,Nashville,-0.00135,-0.000618,-0.000335,-0.00404
2020-1-18,Milwaukee,0.0000774,-0.00181,0.00134,0.000319
2020-1-18,Albuquerque,0.000825,.,-0.0012,-0.00206
2020-1-18,Tucson,0.000577,0.0042,0.00117,-0.00652
2020-1-18,Fresno,0.00238,0.00341,.,-0.00373
2020-1-18,Sacramento,0.00572,-0.00727,0.0108,0.0017
2020-1-18,Atlanta,-0.00166,0.00132,-0.00338,-0.00115
2020-1-18,Kansas City,0.000512,.,0.000601,-0.00139
2020-1-18,Miami,-0.000789,-0.000253,0.000805,-0.004
2020-1-18,Raleigh,0.0014,.,0.000326,-0.00735
2020-1-18,Omaha,0.00501,-0.00343,.,0.01
2020-1-18,Oakland,0.00178,0.00236,0.0019,0.0015
2020-1-18,Minneapolis,0.000974,-0.00233,0.00289,-0.00018
2020-1-18,Tampa,-0.000486,-0.0043,-0.00119,0.00419
2020-1-18,New Orleans,-0.000812,0.000745,-0.000326,-0.00463
2020-1-18,Wichita,0.00195,.,.,.
2020-1-18,Cleveland,0.0019,.,-0.000114,-0.00369
2020-1-18,Bakersfield,-0.00448,-0.00241,-0.0064,-0.00065
2020-1-18,Honolulu,0.00785,.,.,.
2020-1-18,Boise,-0.00393,0.00676,.,.
2020-1-18,Salt Lake City,-0.00185,-0.00723,-0.00345,0.00826
2020-1-18,Virginia Beach,.,.,.,.
2020-1-18,Colorado Springs,0.00359,.,0.00734,0.00339
2020-1-18,Tulsa,0.00143,0.00683,0.000224,-0.00154
2020-1-19,Los Angeles,0.00158,-0.00404,0.00242,0.00154
2020-1-19,New York City,0.00135,0.00144,0.000633,0.0023
2020-1-19,Chicago,0.000128,0.00127,0.000342,-0.000917
2020-1-19,Houston,-0.000358,.,0.000454,-0.000658
2020-1-19,Phoenix,-0.00233,-0.006,-0.00104,-0.00159
2020-1-19,San Diego,0.000506,-0.00905,0.00336,0.0000447
2020-1-19,Dallas,-0.000351,-0.00104,0.00176,-0.00303
2020-1-19,Las Vegas,0.000923,.,0.000715,0.00143
2020-1-19,Seattle,0.00258,-0.0314,0.00395,0.00317
2020-1-19,Fort Worth,0.00182,0.0101,-0.000576,-0.00192
2020-1-19,San Antonio,0.00079,0.000123,-0.00109,0.00677
2020-1-19,San Jose,0.00232,0.004,0.00331,0.00104
2020-1-19,Detroit,0.00186,.,.,0.00123
2020-1-19,Philadelphia,-0.00059,0.0000413,.,-0.00393
2020-1-19,Columbus,-0.000232,0.00341,.,-0.00206
2020-1-19,Austin,-0.00317,0.0035,.,-0.00631
2020-1-19,Charlotte,-0.00158,-0.000567,-0.000232,-0.0053
2020-1-19,Indianapolis,0.00391,0.00101,0.00472,0.0051
2020-1-19,Jacksonville,0.00447,0.0218,0.00129,.
2020-1-19,Memphis,0.00109,-0.000781,0.00319,.
2020-1-19,San Francisco,-0.000123,-0.00713,0.00176,-0.00166
2020-1-19,El Paso,-0.00015,-0.00271,.,.
2020-1-19,Baltimore,.,.,.,.
2020-1-19,Portland,0.00025,.,0.00196,-0.00104
2020-1-19,Boston,-0.00011,-0.00354,0.001,-0.000352
2020-1-19,Oklahoma City,0.00114,0.00414,0.000334,.
2020-1-19,Louisville,0.000205,.,-0.000168,0.00482
2020-1-19,Denver,-0.00169,.,.,-0.00465
2020-1-19,Washington,0.000854,0.00251,0.00157,-0.000092
2020-1-19,Nashville,-0.000569,-0.0000428,0.000708,-0.00363
2020-1-19,Milwaukee,0.00102,-0.000543,0.00225,0.000818
2020-1-19,Albuquerque,0.00301,.,0.00074,-0.0017
2020-1-19,Tucson,0.00163,0.0036,0.00365,-0.00736
2020-1-19,Fresno,0.00364,0.000794,.,-0.00302
2020-1-19,Sacramento,0.00561,-0.00962,0.0108,0.00229
2020-1-19,Atlanta,-0.000992,0.0025,-0.00224,-0.00142
2020-1-19,Kansas City,0.00045,.,0.000811,-0.00271
2020-1-19,Miami,0.000698,-0.000469,0.00337,-0.00277
2020-1-19,Raleigh,0.00288,.,0.00313,-0.00557
2020-1-19,Omaha,0.00316,-0.00279,.,0.00744
2020-1-19,Oakland,0.00259,0.00335,0.00285,0.00207
2020-1-19,Minneapolis,0.00132,-0.000469,0.00353,-0.00103
2020-1-19,Tampa,0.000345,-0.00326,-0.000686,0.00548
2020-1-19,New Orleans,-0.000714,0.00106,0.0000715,-0.00554
2020-1-19,Wichita,0.00143,.,.,.
2020-1-19,Cleveland,0.00105,.,0.000559,-0.00392
2020-1-19,Bakersfield,-0.00134,-0.00302,-0.00134,0.000654
2020-1-19,Honolulu,0.0118,.,.,.
2020-1-19,Boise,-0.00118,0.00818,.,.
2020-1-19,Salt Lake City,0.0000742,-0.00282,-0.0017,0.00761
2020-1-19,Virginia Beach,.,.,.,.
2020-1-19,Colorado Springs,0.00407,.,0.00828,0.0028
2020-1-19,Tulsa,0.00107,0.00637,-5.59E-06,-0.00206
2020-1-20,Los Angeles,0.00272,-0.00438,0.00394,0.00234
2020-1-20,New York City,0.00236,0.00311,0.00145,0.00347
2020-1-20,Chicago,0.00109,0.00321,0.00119,-0.000373
2020-1-20,Houston,0.00141,.,0.00298,0.000129
2020-1-20,Phoenix,-0.00181,-0.00572,-0.000115,-0.00175
2020-1-20,San Diego,0.00188,-0.0103,0.00562,0.00111
2020-1-20,Dallas,0.000526,0.000819,0.00287,-0.00341
2020-1-20,Las Vegas,0.00153,.,0.00175,0.00163
2020-1-20,Seattle,0.00386,-0.0286,0.00579,0.00349
2020-1-20,Fort Worth,0.00305,0.0103,0.0015,-0.0014
2020-1-20,San Antonio,0.00103,0.000626,0.000195,0.00392
2020-1-20,San Jose,0.00367,0.00575,0.00502,0.00195
2020-1-20,Detroit,0.00325,.,.,0.0022
2020-1-20,Philadelphia,-0.0000834,0.00303,.,-0.00365
2020-1-20,Columbus,0.000655,0.00393,.,-0.00125
2020-1-20,Austin,0.000507,0.00532,.,-0.00535
2020-1-20,Charlotte,-0.000946,6.74E-06,0.000971,-0.0057
2020-1-20,Indianapolis,0.0049,0.00044,0.00654,0.00586
2020-1-20,Jacksonville,0.00323,0.0179,0.00209,.
2020-1-20,Memphis,0.00262,0.00116,0.005,.
2020-1-20,San Francisco,0.00132,-0.00638,0.00243,0.000556
2020-1-20,El Paso,0.00287,-0.00101,.,.
2020-1-20,Baltimore,.,.,.,.
2020-1-20,Portland,0.00122,.,0.00328,-0.00116
2020-1-20,Boston,0.000963,-0.00157,0.00186,0.000697
2020-1-20,Oklahoma City,0.00219,0.00595,0.000879,.
2020-1-20,Louisville,0.000637,.,0.000059,0.00567
2020-1-20,Denver,-0.00067,.,.,-0.00379
2020-1-20,Washington,0.00175,0.00219,0.00298,0.000485
2020-1-20,Nashville,0.000182,0.000438,0.00168,-0.00312
2020-1-20,Milwaukee,0.00187,0.000766,0.00296,0.00122
2020-1-20,Albuquerque,0.0049,.,0.00246,-0.00123
2020-1-20,Tucson,0.00249,0.00283,0.00579,-0.00787
2020-1-20,Fresno,0.00471,-0.00158,.,-0.00231
2020-1-20,Sacramento,0.00522,-0.0116,0.0102,0.00273
2020-1-20,Atlanta,-0.000348,0.00346,-0.00107,-0.00169
2020-1-20,Kansas City,0.000354,.,0.000962,-0.0039
2020-1-20,Miami,0.00208,-0.000664,0.00565,-0.00146
2020-1-20,Raleigh,0.00407,.,0.00563,-0.00365
2020-1-20,Omaha,0.00118,-0.00182,.,0.00441
2020-1-20,Oakland,0.00326,0.00425,0.00368,0.00246
2020-1-20,Minneapolis,0.00158,0.00126,0.00403,-0.00188
2020-1-20,Tampa,0.00109,-0.00205,-0.000198,0.00632
2020-1-20,New Orleans,-0.000594,0.00125,0.000431,-0.00604
2020-1-20,Wichita,0.00089,.,.,.
2020-1-20,Cleveland,0.000148,.,0.00113,-0.00387
2020-1-20,Bakersfield,0.00176,-0.00356,0.00365,0.00186
2020-1-20,Honolulu,0.0156,.,.,.
2020-1-20,Boise,0.00148,0.00901,.,.
2020-1-20,Salt Lake City,0.00199,0.0018,0.000102,0.00653
2020-1-20,Virginia Beach,.,.,.,.
2020-1-20,Colorado Springs,0.00446,.,0.00902,0.00212
2020-1-20,Tulsa,0.000625,0.00556,-0.000246,-0.00253
2020-1-21,Los Angeles,0.00372,-0.00475,0.00528,0.00304
2020-1-21,New York City,0.00322,0.00445,0.00217,0.00443
2020-1-21,Chicago,0.00198,0.00481,0.00199,0.000198
2020-1-21,Houston,0.00303,.,0.0053,0.0009
2020-1-21,Phoenix,-0.00124,-0.00527,0.000824,-0.00191
2020-1-21,San Diego,0.00316,-0.0113,0.00763,0.00214
2020-1-21,Dallas,0.00129,0.00233,0.00381,-0.00358
2020-1-21,Las Vegas,0.00205,.,0.00272,0.0018
2020-1-21,Seattle,0.0049,-0.0254,0.00733,0.00362
2020-1-21,Fort Worth,0.00406,0.00988,0.0035,-0.000893
2020-1-21,San Antonio,0.00108,0.00082,0.00144,0.000792
2020-1-21,San Jose,0.00488,0.00719,0.00655,0.00278
2020-1-21,Detroit,0.00446,.,.,0.00306
2020-1-21,Philadelphia,0.000409,0.00567,.,-0.00321
2020-1-21,Columbus,0.00147,0.00422,.,-0.000344
2020-1-21,Austin,0.00421,0.00664,.,-0.00405
2020-1-21,Charlotte,-0.000321,0.000341,0.00211,-0.00577
2020-1-21,Indianapolis,0.00558,-0.000218,0.00795,0.00628
2020-1-21,Jacksonville,0.00186,0.0131,0.00285,.
2020-1-21,Memphis,0.00399,0.00295,0.00657,.
2020-1-21,San Francisco,0.00267,-0.00547,0.00299,0.00269
2020-1-21,El Paso,0.00526,0.0000682,.,.
2020-1-21,Baltimore,.,.,.,.
2020-1-21,Portland,0.00214,.,0.00448,-0.00123
2020-1-21,Boston,0.00202,0.00025,0.00273,0.00173
2020-1-21,Oklahoma City,0.00314,0.0074,0.00139,.
2020-1-21,Louisville,0.000952,.,0.00021,0.00618
2020-1-21,Denver,0.000349,.,.,-0.00277
2020-1-21,Washington,0.00254,0.00172,0.0042,0.00105
2020-1-21,Nashville,0.000881,0.000751,0.00256,-0.00252
2020-1-21,Milwaukee,0.00261,0.00204,0.0035,0.00152
2020-1-21,Albuquerque,0.00648,.,0.00399,-0.000671
2020-1-21,Tucson,0.00311,0.00158,0.00758,-0.00807
2020-1-21,Fresno,0.0056,-0.0038,.,-0.0016
2020-1-21,Sacramento,0.00458,-0.0134,0.00929,0.00308
2020-1-21,Atlanta,0.000238,0.00407,0.000114,-0.00194
2020-1-21,Kansas City,0.000209,.,0.00106,-0.00492
2020-1-21,Miami,0.00335,-0.000808,0.00764,-0.000104
2020-1-21,Raleigh,0.00492,.,0.0078,-0.00164
2020-1-21,Omaha,-0.000917,-0.000721,.,0.00107
2020-1-21,Oakland,0.00382,0.0049,0.00441,0.00273
2020-1-21,Minneapolis,0.00175,0.00284,0.00438,-0.00267
2020-1-21,Tampa,0.00172,-0.000875,0.000295,0.00676
2020-1-21,New Orleans,-0.00046,0.0013,0.000795,-0.00623
2020-1-21,Wichita,0.00031,.,.,.
2020-1-21,Cleveland,-0.000805,.,0.00161,-0.00358
2020-1-21,Bakersfield,0.00473,-0.00429,0.00853,0.00295
2020-1-21,Honolulu,0.019,.,.,.
2020-1-21,Boise,0.00397,0.00924,.,.
2020-1-21,Salt Lake City,0.00382,0.00637,0.00192,0.00509
2020-1-21,Virginia Beach,.,.,.,.
2020-1-21,Colorado Springs,0.00468,.,0.00955,0.00137
2020-1-21,Tulsa,0.000115,0.00437,-0.000466,-0.00293
2020-1-22,Los Angeles,0.00462,-0.00502,0.00648,0.00367
2020-1-22,New York City,0.00394,0.00554,0.00282,0.00519
2020-1-22,Chicago,0.00283,0.0063,0.00276,0.000781
2020-1-22,Houston,0.00456,.,0.00742,0.00165
2020-1-22,Phoenix,-0.000565,-0.00453,0.00178,-0.00198
